Id,Id2,Geography,Total,Native,Native_Born_in_state_of_residence,Native_Born_in_other_state_in_the_United_States,Native_Born_in_other_state_in_the_United_States_Northeast,Native_Born_in_other_state_in_the_United_States_Midwest,Native_Born_in_other_state_in_the_United_States_South,Native_Born_in_other_state_in_the_United_States_West,Native_Born_outside_the_United_States,Native_Born_outside_the_United_States_Puerto_Rico,Native_Born_outside_the_United_States_U.S._Island_Areas,Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s),Foreign_born,Foreign_born_Naturalized_U.S._citizen,Foreign_born_Naturalized_U.S._citizen__Europe,Foreign_born_Naturalized_U.S._citizen__Asia,Foreign_born_Naturalized_U.S._citizen__Africa,Foreign_born_Naturalized_U.S._citizen__Oceania,Foreign_born_Naturalized_U.S._citizen__Latin_America,Foreign_born_Naturalized_U.S._citizen__Northern_America,Foreign_born_Not_a_U.S._citizen,Foreign_born_Not_a_U.S._citizen__Europe,Foreign_born_Not_a_U.S._citizen__Asia,Foreign_born_Not_a_U.S._citizen__Africa,Foreign_born_Not_a_U.S._citizen__Oceania,Foreign_born_Not_a_U.S._citizen__Latin_America,Foreign_born_Not_a_U.S._citizen__Northern_America
0500000US06059,6059,"Orange County, California",3155816,2201107,1640147,522640,133964,180676,109590,98410,38320,2381,2575,33364,954709,504160,33889,316637,11148,2130,131914,8442,450549,18193,134589,6108,2257,283656,5746
1600000US0600947,600947,"Aliso Viejo city, California",50691,39686,27810,11167,3381,3371,2438,1977,709,82,72,555,11005,7148,777,4558,197,34,1418,164,3857,588,1959,87,35,1062,126
1600000US0602000,602000,"Anaheim city, California",349007,220621,180758,35922,7959,12149,8391,7423,3941,248,86,3607,128386,57776,2359,31100,1297,176,22235,609,70610,1107,11664,659,122,56698,360
1600000US0608100,608100,"Brea city, California",41921,33663,25947,7156,1620,2797,1412,1327,560,27,66,467,8258,5303,484,3547,94,18,1055,105,2955,210,1706,26,20,936,57
1600000US0608786,608786,"Buena Park city, California",83020,52274,42749,8240,2038,2440,1707,2055,1285,97,150,1038,30746,15689,475,10609,146,268,4134,57,15057,128,6443,75,160,8196,55
1600000US0616532,616532,"Costa Mesa city, California",112930,84982,63445,20412,5001,6341,4233,4837,1125,91,112,922,27948,11717,1041,4329,240,132,5687,288,16231,896,2346,17,163,12531,278
1600000US0616580,616580,"Coto de Caza CDP, California",14799,12904,8148,4591,1150,1801,767,873,165,0,22,143,1895,1473,248,789,36,0,209,191,422,99,164,18,0,76,65
1600000US0617750,617750,"Cypress city, California",49108,34665,27041,6828,1341,2216,1878,1393,796,9,123,664,14443,8820,465,6644,284,13,1298,116,5623,365,3844,31,64,1278,41
1600000US0617946,617946,"Dana Point city, California",34028,29412,18212,10708,3138,3763,2314,1493,492,14,0,478,4616,2996,816,1025,119,17,746,273,1620,546,114,16,35,822,87
1600000US0625380,625380,"Fountain Valley city, California",56640,39946,29050,10311,2686,3302,1997,2326,585,61,0,524,16694,13175,936,10323,305,43,1362,206,3519,321,1916,275,28,844,135
1600000US0628000,628000,"Fullerton city, California",139976,97219,76039,19430,4530,6439,4773,3688,1750,156,49,1545,42757,21372,1104,13984,314,69,5567,334,21385,548,9093,117,34,11433,160
1600000US0629000,629000,"Garden Grove city, California",174812,97897,80661,14842,2939,5577,3280,3046,2394,156,216,2022,76915,49178,787,38947,402,117,8731,194,27737,276,10562,345,86,16374,94
1600000US0636000,636000,"Huntington Beach city, California",200415,167117,116558,48083,12664,17336,9177,8906,2476,211,252,2013,33298,20549,3091,12076,932,132,3575,743,12749,1427,2834,741,190,7052,505
1600000US0636770,636770,"Irvine city, California",256877,155211,106360,44636,12593,14367,9524,8152,4215,189,187,3839,101666,54611,3471,44145,2328,195,3854,618,47055,2921,38627,995,321,2889,1302
1600000US0639114,639114,"Ladera Ranch CDP, California",28769,24595,17294,6952,1659,2277,1781,1235,349,0,21,328,4174,2554,289,1599,133,70,355,108,1620,342,693,91,143,289,62
1600000US0639178,639178,"Laguna Beach city, California",23224,20130,11203,8099,2976,2589,1424,1110,828,9,86,733,3094,2041,652,727,109,44,336,173,1053,503,181,25,63,214,67
1600000US0639220,639220,"Laguna Hills city, California",31235,23043,14956,7566,1888,3147,1492,1039,521,0,31,490,8192,4829,418,2705,260,10,1289,147,3363,257,1150,72,10,1815,59
1600000US0639248,639248,"Laguna Niguel city, California",65429,51747,32517,18246,5229,6069,3722,3226,984,16,58,910,13682,9002,1444,5093,428,55,1759,223,4680,656,1643,367,57,1597,360
1600000US0639259,639259,"Laguna Woods city, California",16314,10941,2800,8012,3244,3078,979,711,129,11,0,118,5373,4645,880,2997,262,0,405,101,728,183,368,22,0,85,70
1600000US0639290,639290,"La Habra city, California",61965,44300,37218,6540,1233,2170,1430,1707,542,24,0,518,17665,8231,239,3740,41,0,4110,101,9434,168,1661,73,0,7532,0
1600000US0639496,639496,"Lake Forest city, California",81812,62266,43785,17249,5020,6171,3407,2651,1232,156,140,936,19546,10294,1649,5710,224,21,2403,287,9252,623,3532,153,11,4711,222
1600000US0640256,640256,"La Palma city, California",15814,10547,8298,1865,384,620,456,405,384,15,35,334,5267,3761,83,3179,111,0,372,16,1506,77,1075,8,13,333,0
1600000US0640526,640526,"Las Flores CDP (Orange County), California",5665,4821,3565,1202,292,335,161,414,54,0,26,28,844,583,50,483,0,0,36,14,261,5,186,0,0,70,0
1600000US0643224,643224,"Los Alamitos city, California",11639,9771,7219,2354,604,789,558,403,198,62,15,121,1868,1218,157,713,7,9,292,40,650,49,344,0,0,247,10
1600000US0647430,647430,"Midway City CDP, California",8819,4426,3777,532,95,159,119,159,117,0,0,117,4393,2884,22,2455,14,22,371,0,1509,23,878,0,27,581,0
1600000US0648256,648256,"Mission Viejo city, California",96535,77841,50609,26245,7111,9937,5040,4157,987,57,106,824,18694,12938,1668,7762,291,145,2718,354,5756,898,2056,77,35,2482,208
1600000US0651182,651182,"Newport Beach city, California",86793,74048,46565,26491,7851,8930,4596,5114,992,60,7,925,12745,8729,1708,4281,477,177,1392,694,4016,1272,1519,200,107,622,296
1600000US0652379,652379,"North Tustin CDP, California",25364,21718,14394,7087,1852,2510,1686,1039,237,0,0,237,3646,2536,414,1512,6,0,499,105,1110,176,487,24,0,374,49
1600000US0653980,653980,"Orange city, California",140289,106751,82185,23094,4978,9021,4231,4864,1472,93,5,1374,33538,15593,1306,8347,144,43,5439,314,17945,463,2333,553,14,14445,137
1600000US0657526,657526,"Placentia city, California",52294,39626,30860,8328,2236,2683,1973,1436,438,26,17,395,12668,6821,328,4455,84,0,1872,82,5847,197,1468,40,42,4021,79
1600000US0659587,659587,"Rancho Santa Margarita city, California",49078,40728,28653,11460,3126,4056,2143,2135,615,34,85,496,8350,5290,710,2742,286,0,1431,121,3060,353,957,278,0,1439,33
1600000US0663050,663050,"Rossmoor CDP, California",10920,9797,7310,2410,655,989,284,482,77,0,29,48,1123,794,197,475,0,0,94,28,329,35,144,0,0,150,0
1600000US0665084,665084,"San Clemente city, California",65226,57354,38002,18557,4664,6651,3868,3374,795,0,45,750,7872,4398,1272,1516,224,15,1197,174,3474,372,375,44,66,2391,226
1600000US0668028,668028,"San Juan Capistrano city, California",35948,27783,19675,7870,2276,2610,1385,1599,238,0,21,217,8165,3199,470,664,32,28,1829,176,4966,291,198,0,0,4381,96
1600000US0669000,669000,"Santa Ana city, California",334493,183182,162564,17570,3376,5119,5532,3543,3048,270,237,2541,151311,53165,689,21620,359,116,30195,186,98146,643,6887,120,43,90358,95
1600000US0670686,670686,"Seal Beach city, California",24510,20755,12318,8162,2094,3284,1354,1430,275,4,48,223,3755,2846,584,1445,78,79,496,164,909,177,447,0,32,125,128
1600000US0673962,673962,"Stanton city, California",38648,21362,17738,3186,566,1069,817,734,438,20,37,381,17286,8492,150,5918,11,1,2342,70,8794,136,2039,9,82,6503,25
1600000US0680854,680854,"Tustin city, California",80007,52616,41069,10768,2359,3613,2572,2224,779,71,43,665,27391,13447,518,8012,283,26,4368,240,13944,301,4045,121,180,9198,99
1600000US0682744,682744,"Villa Park city, California",5935,4893,3476,1354,238,639,264,213,63,13,0,50,1042,868,113,641,0,12,86,16,174,14,101,0,0,45,14
1600000US0684550,684550,"Westminster city, California",91785,49957,39602,9317,2111,3062,2401,1743,1038,25,102,911,41828,30351,525,26105,323,9,3201,188,11477,254,5380,192,0,5608,43
1600000US0686832,686832,"Yorba Linda city, California",67740,54811,39679,14441,3585,5496,2618,2742,691,65,28,598,12929,9736,987,6769,209,23,1394,354,3193,196,1856,179,74,813,75
