geoid,name,B05002001,"B05002001, Error",B05002002,"B05002002, Error",B05002003,"B05002003, Error",B05002004,"B05002004, Error",B05002005,"B05002005, Error",B05002006,"B05002006, Error",B05002007,"B05002007, Error",B05002008,"B05002008, Error",B05002009,"B05002009, Error",B05002010,"B05002010, Error",B05002011,"B05002011, Error",B05002012,"B05002012, Error",B05002013,"B05002013, Error",B05002014,"B05002014, Error",B05002015,"B05002015, Error",B05002016,"B05002016, Error",B05002017,"B05002017, Error",B05002018,"B05002018, Error",B05002019,"B05002019, Error",B05002020,"B05002020, Error",B05002021,"B05002021, Error",B05002022,"B05002022, Error",B05002023,"B05002023, Error",B05002024,"B05002024, Error",B05002025,"B05002025, Error",B05002026,"B05002026, Error",B05002027,"B05002027, Error"
04000US06,California,39148760,0,28611231,32384,21657115,25678,6422726,20227,1461919,8700,1911281,10755,1731249,11342,1318277,9324,531390,5573,39220,1585,36588,1552,455582,5459,10537529,32384,5353219,15464,420817,4759,2702608,10935,115848,3290,45404,1912,2002112,10982,66372,1806,5184310,32526,257488,4282,1403684,12968,68832,3263,37122,1979,3350064,24856,67086,2048
16000US0600135,"Acalanes Ridge, CA",889,298,726,255,541,228,180,104,94,84,43,47,25,39,18,29,5,14,0,12,0,12,5,14,163,108,74,72,41,40,33,62,0,12,0,12,0,12,0,12,89,85,56,65,15,24,0,12,0,12,18,30,0,12
16000US0600156,"Acampo, CA",294,244,294,244,294,244,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600212,"Acton, CA",7185,512,6659,505,4747,488,1788,254,348,110,768,154,373,139,299,95,124,57,0,17,0,17,124,57,526,158,363,122,59,36,89,48,17,26,0,17,198,93,0,17,163,82,47,47,9,12,5,9,0,17,102,66,0,17
16000US0600296,"Adelanto, CA",33416,52,26801,656,23281,628,3067,462,507,169,625,195,1358,309,577,180,453,158,115,78,22,32,316,138,6615,657,2518,430,20,24,177,106,27,34,3,8,2291,412,0,26,4097,639,6,10,187,104,0,26,9,35,3887,621,8,14
16000US0600310,"Adin, CA",201,95,201,95,170,82,31,24,0,12,9,12,7,11,15,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600394,"Agoura Hills, CA",20636,28,16124,656,10842,618,5087,490,1889,419,1543,304,825,254,830,219,195,96,68,43,13,22,114,78,4512,660,3279,522,836,291,1623,366,198,137,0,23,542,203,80,68,1233,512,283,157,169,98,183,234,0,23,595,389,3,12
16000US0600450,"Agua Dulce, CA",3728,605,3357,589,2549,519,750,184,235,103,362,111,83,45,70,63,58,49,0,12,0,12,58,49,371,170,143,59,23,22,21,27,0,12,0,12,99,57,0,12,228,151,0,12,64,76,0,12,0,12,155,127,9,14
16000US0600464,"Aguanga, CA",835,356,817,354,370,222,389,214,76,97,231,193,67,76,15,22,58,90,0,12,0,12,58,90,18,20,18,20,18,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600478,"Ahwahnee, CA",2461,592,2448,593,1713,486,735,266,181,125,175,116,159,131,220,104,0,12,0,12,0,12,0,12,13,21,13,21,0,12,0,12,0,12,0,12,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600535,"Airport, CA",1222,386,922,333,821,334,101,71,11,17,14,18,58,59,18,30,0,12,0,12,0,12,0,12,300,170,90,59,0,12,0,12,0,12,0,12,90,59,0,12,210,150,0,12,0,12,0,12,0,12,210,150,0,12
16000US0600562,"Alameda, CA",78462,44,57974,1045,38528,1083,17150,881,4362,470,4796,420,5021,548,2971,364,2296,490,174,90,220,97,1902,448,20488,1041,13977,764,1002,255,10922,674,636,217,48,38,1242,295,127,68,6511,702,846,193,3968,579,209,109,59,51,1276,351,153,104
16000US0600618,"Alamo, CA",15317,696,13425,727,8599,638,4616,508,1328,263,1592,298,918,225,778,214,210,89,16,24,1,3,193,91,1892,350,1286,240,235,128,824,210,16,19,0,19,159,106,52,40,606,271,291,221,164,117,0,19,40,67,20,21,91,80
16000US0600674,"Albany, CA",19758,59,13373,499,8507,469,4539,342,1495,216,1330,209,819,171,895,200,327,93,0,19,22,25,305,96,6385,499,2532,343,316,125,1762,291,57,43,40,53,332,148,25,24,3853,514,447,145,2498,447,33,30,28,32,797,369,50,57
16000US0600716,"Albion, CA",302,117,295,116,256,123,39,26,0,12,13,19,17,21,9,17,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,7,12,0,12,0,12,0,12,0,12,0,12
16000US0600786,"Alderpoint, CA",157,125,157,125,132,90,25,40,0,12,0,12,0,12,25,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600884,"Alhambra, CA",84974,65,43102,978,37846,989,4644,447,1092,247,1242,230,1179,248,1131,233,612,146,45,39,22,27,545,141,41872,975,26440,821,290,105,20772,707,194,102,97,115,4935,559,146,74,15432,879,179,73,11403,829,82,84,140,145,3482,555,146,112
16000US0600898,"Alhambra Valley, CA",739,251,737,252,574,212,151,72,13,19,89,48,0,12,49,49,12,17,0,12,0,12,12,17,2,5,2,5,0,12,2,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600947,"Aliso Viejo, CA",50925,36,39918,682,28070,737,11114,609,3156,370,3408,417,2572,407,1978,324,734,179,97,95,26,29,611,148,11007,683,6974,537,851,218,4096,448,242,125,71,51,1595,339,119,73,4033,514,703,223,1994,337,90,75,41,45,1045,335,160,88
16000US0600982,"Alleghany, CA",30,45,30,45,30,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0600996,"Allendale, CA",1362,308,1312,299,914,297,388,106,77,44,85,58,128,58,98,66,10,15,10,15,0,12,0,12,50,45,50,45,17,26,20,25,0,12,0,12,13,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0601010,"Allensworth, CA",527,125,325,93,287,83,38,27,8,12,0,12,13,10,17,22,0,12,0,12,0,12,0,12,202,52,14,10,0,12,3,4,0,12,0,12,11,8,0,12,188,53,0,12,2,3,0,12,0,12,186,53,0,12
16000US0601094,"Almanor, CA",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0601150,"Alondra Park, CA",8097,914,5532,678,4496,631,954,228,154,84,340,155,283,127,177,113,82,83,13,20,11,18,58,80,2565,484,1354,257,67,49,691,147,29,36,9,40,545,191,13,21,1211,411,11,18,88,77,84,88,3,16,1025,433,0,17
16000US0601164,"Alpaugh, CA",1074,200,721,170,673,162,48,35,4,7,0,12,21,25,23,25,0,12,0,12,0,12,0,12,353,74,49,20,0,12,5,8,0,12,0,12,44,21,0,12,304,72,0,12,0,12,0,12,0,12,304,72,0,12
16000US0601192,"Alpine, CA",15233,862,14366,881,10080,732,4097,476,1040,245,1274,210,872,196,911,266,189,101,6,20,7,18,176,98,867,199,642,201,104,63,188,104,64,99,0,19,204,135,82,79,225,116,102,74,62,73,0,19,0,19,61,57,0,19
16000US0601228,"Alpine Village, CA",155,62,155,62,83,38,72,46,4,5,0,12,5,8,63,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
16000US0601276,"Alta, CA",485,124,450,113,309,89,130,53,17,16,52,31,44,30,17,16,11,11,0,12,0,12,11,11,35,26,20,16,18,17,0,12,0,12,0,12,2,5,0,12,15,20,3,5,12,19,0,12,0,12,0,12,0,12
16000US0601290,"Altadena, CA",45146,1393,35824,1491,24835,1371,10514,678,2563,425,3189,349,3304,399,1458,292,475,185,16,24,45,70,414,169,9322,903,5555,624,659,214,2470,493,59,42,38,36,2193,316,136,107,3767,654,151,72,777,381,16,18,40,43,2711,565,72,67
16000US0601360,"Alta Sierra, CA",7207,346,6856,357,5030,390,1675,278,285,126,631,182,431,153,328,112,151,116,18,30,0,17,133,115,351,150,270,140,237,135,26,40,0,17,0,17,7,18,0,17,81,72,42,50,15,24,0,17,0,17,5,11,19,30
16000US0601416,"Alto, CA",765,253,606,208,429,145,177,92,100,80,37,42,18,28,22,36,0,12,0,12,0,12,0,12,159,118,98,97,44,42,0,12,0,12,0,12,54,86,0,12,61,52,9,18,17,28,0,12,0,12,21,33,14,26
16000US0601444,"Alturas, CA",2577,13,2510,60,1757,175,747,162,35,41,146,62,55,41,511,151,6,9,0,12,0,12,6,9,67,62,11,15,9,14,2,5,0,12,0,12,0,12,0,12,56,61,0,12,8,16,0,12,0,12,48,59,0,12
16000US0601458,"Alum Rock, CA",11791,961,7327,688,6671,654,596,151,72,47,117,66,232,78,175,80,60,61,1,9,14,21,45,57,4464,776,2100,357,188,90,912,266,0,19,0,19,1000,312,0,19,2364,697,67,49,350,261,11,14,0,19,1921,629,15,24
16000US0601514,"Amador City, CA",167,82,159,82,120,66,37,40,4,7,12,14,21,34,0,12,2,4,0,12,0,12,2,4,8,10,2,3,0,12,2,3,0,12,0,12,0,12,0,12,6,9,0,12,0,12,0,12,6,9,0,12,0,12
